image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.779683,car,car,True
drive_022,2,5,0.863717,truck,bus,False
drive_022,3,2,0.904397,bus,van,False
drive_022,4,1,0.85925,car,car,True
drive_022,5,3,0.750011,car,car,True
drive_033,1,3,0.896677,car,car,True
drive_033,2,9,0.863726,car,car,True
drive_033,13,4,0.73415,car,car,True
drive_033,14,2,0.779732,truck,bus,False
drive_033,15,1,0.973174,bus,van,False
drive_033,16,11,0.892474,car,car,True
drive_033,17,12,0.94969,bus,van,False
drive_033,18,8,0.914093,car,car,True
drive_033,19,10,0.806882,car,car,True
drive_033,20,7,0.911899,car,car,True
drive_033,21,5,0.830145,car,car,True
drive_033,26,6,0.830449,car,car,True
drive_038,1,16,0.810663,car,car,True
drive_038,3,6,0.830062,car,car,True
drive_038,4,7,0.821489,car,car,True
drive_038,5,8,0.887711,car,car,True
drive_038,6,10,0.770641,car,car,True
drive_038,7,14,0.878493,car,car,True
drive_038,8,13,0.842624,car,car,True
drive_038,9,11,0.86975,car,car,True
drive_038,10,12,0.871013,car,car,True
drive_038,32,2,0.914509,car,car,True
drive_038,33,3,0.938012,car,car,True
drive_038,34,5,0.907506,truck,bus,False
drive_038,50,4,0.930298,car,car,True
drive_038,51,1,0.970593,car,car,True
drive_038,52,9,0.901331,truck,bus,False
drive_038,53,15,0.888727,van,truck,False
drive_038,54,17,0.928721,car,car,True
drive_008,1,4,0.95114,car,car,True
drive_008,2,9,0.972984,bus,van,False
drive_008,4,3,0.896999,van,truck,False
drive_008,5,1,0.837879,truck,bus,False
drive_008,7,2,0.916235,car,car,True
drive_008,8,5,0.857249,van,truck,False
drive_008,10,11,0.920518,car,car,True
drive_008,23,15,0.177869,car,car,True
drive_008,24,14,0.856977,car,car,True
drive_008,25,13,0.626955,car,car,True
drive_008,29,7,0.810435,car,car,True
drive_008,31,16,0.9433,car,car,True
drive_008,32,6,0.928219,car,car,True
drive_008,33,12,0.886777,van,truck,False
